Toys [id =3, name = телефон, weight = 20.0]
Toys [id =5, name = робот, weight = 40.0]
Toys [id =1, name = конструктор, weight = 30.0]
Toys [id =4, name = кукла, weight = 32.0]
Toys [id =2, name = мягкая игрушка, weight = 53.0]
Toys [id =0, name = вертолет, weight = 15.0]
Toys [id =4, name = кукла, weight = 32.0]
Toys [id =3, name = телефон, weight = 20.0]
Toys [id =1, name = конструктор, weight = 30.0]
Toys [id =5, name = робот, weight = 40.0]
Toys [id =2, name = мягкая игрушка, weight = 53.0]
Toys [id =0, name = вертолет, weight = 15.0]
Toys [id =4, name = кукла, weight = 32.0]
Toys [id =5, name = робот, weight = 40.0]
Toys [id =3, name = телефон, weight = 20.0]
Toys [id =2, name = мягкая игрушка, weight = 53.0]
Toys [id =1, name = конструктор, weight = 30.0]
Toys [id =0, name = вертолет, weight = 15.0]
Toys [id =2, name = мягкая игрушка, weight = 53.0]
Toys [id =5, name = робот, weight = 40.0]
Toys [id =1, name = конструктор, weight = 30.0]
Toys [id =4, name = кукла, weight = 32.0]
Toys [id =0, name = вертолет, weight = 15.0]
Toys [id =3, name = телефон, weight = 20.0]
Toys [id =1, name = конструктор, weight = 30.0]
Toys [id =5, name = робот, weight = 40.0]
Toys [id =2, name = мягкая игрушка, weight = 53.0]
Toys [id =4, name = кукла, weight = 32.0]
Toys [id =0, name = вертолет, weight = 15.0]
Toys [id =3, name = телефон, weight = 20.0]
Toys [id =1, name = конструктор, weight = 30.0]
Toys [id =5, name = робот, weight = 40.0]
Toys [id =2, name = мягкая игрушка, weight = 53.0]
Toys [id =4, name = кукла, weight = 32.0]
Toys [id =0, name = вертолет, weight = 15.0]
Toys [id =3, name = телефон, weight = 20.0]
Toys [id =1, name = конструктор, weight = 30.0]
Toys [id =2, name = мягкая игрушка, weight = 53.0]
Toys [id =0, name = вертолет, weight = 15.0]
Toys [id =4, name = кукла, weight = 32.0]
Toys [id =5, name = робот, weight = 40.0]
Toys [id =3, name = телефон, weight = 20.0]
Toys [id =2, name = мягкая игрушка, weight = 53.0]
Toys [id =5, name = робот, weight = 40.0]
Toys [id =1, name = конструктор, weight = 30.0]
Toys [id =4, name = кукла, weight = 32.0]
Toys [id =0, name = вертолет, weight = 15.0]
Toys [id =3, name = телефон, weight = 20.0]
Toys [id =0, name = вертолет, weight = 15.0]
Toys [id =1, name = конструктор, weight = 30.0]
Toys [id =5, name = робот, weight = 40.0]
Toys [id =2, name = мягкая игрушка, weight = 53.0]
Toys [id =3, name = телефон, weight = 20.0]
Toys [id =4, name = кукла, weight = 32.0]
